seq_no,ctd_section,title,xml_element,item_type,relative_path,comment
113,3.2.P.5.6,"Justification of Specifications (name, dosage form)",m3-2-p-5-6-justification-of-specifications,file,m3/32-body-data/32p-drug-prod/product-1/32p5-contr-drug-prod/32p56-justif-spec/justification-of-specifications.pdf,
114,3.2.P.6,"Reference Standards or Materials (name, dosage form)",m3-2-p-6-reference-standards-or-materials,directory,m3/32-body-data/32p-drug-prod/product-1/32p6-ref-stand,
115,3.2.P.6,"Reference Standards or Materials (name, dosage form)",m3-2-p-6-reference-standards-or-materials,file,m3/32-body-data/32p-drug-prod/product-1/32p6-ref-stand/reference-standards.pdf,"When a multiple file approach is taken for this section, the file names should indicate which reference standard is covered in the document."
116,3.2.P.7,"Container Closure System (name, dosage form)",m3-2-p-7-container-closure-system,directory,m3/32-body-data/32p-drug-prod/product-1/32p7-cont-closure-sys,
117,3.2.P.7,"Container Closure System (name, dosage form)",m3-2-p-7-container-closure-system,file,m3/32-body-data/32p-drug-prod/product-1/32p7-cont-closure-sys/container-closure-system.pdf,
118,3.2.P.8,"Stability (name, dosage form)",m3-2-p-8-stability,directory,m3/32-body-data/32p-drug-prod/product-1/32p8-stab,
119,3.2.P.8.1,"Stability Summary and Conclusion (name, dosage form)",m3-2-p-8-1-stability-summary-and-conclusion,file,m3/32-body-data/32p-drug-prod/product-1/32p8-stab/stability-summary.pdf,
120,3.2.P.8.2,"Post-approval Stability Protocol and Stability Commitment (name, dosage form)",m3-2-p-8-2-post-approval-stability-protocol-and-stability-commitment,file,m3/32-body-data/32p-drug-prod/product-1/32p8-stab/postapproval-stability.pdf,
121,3.2.P.8.3,"Stability Data (name, dosage form)",m3-2-p-8-3-stability-data,file,m3/32-body-data/32p-drug-prod/product-1/32p8-stab/stability-data.pdf,
122,3.2.A,Appendices,m3-2-a-appendices,directory,m3/32-body-data/32a-app,
123,3.2.A.1,"Facilities and Equipment (name, manufacturer)",m3-2-a-1-facilities-and-equipment,directory,m3/32-body-data/32a-app/32a1-fac-equip,"Several reports are likely to be included in this appendix. The organisation is left to the applicant to define. However, where there is more than one manufacturer a folder should be created for each manufacturer and the identity of the manufacturer included in the directory name. CTD numbering is not defined below this level (e.g., 3.2.A.1.1)."
124,,Facilities and Equipment Report 1,m3-2-a-1-facilities-and-equipment,file,m3/32-body-data/32a-app/32a1-fac-equip/facilities-and-equipment-report-1.pdf,
125,,Facilities and Equipment Report 2,m3-2-a-1-facilities-and-equipment,file,m3/32-body-data/32a-app/32a1-fac-equip/facilities-and-equipment-report-2.pdf,
126,,Facilities and Equipment Report 3,m3-2-a-1-facilities-and-equipment,file,m3/32-body-data/32a-app/32a1-fac-equip/facilities-and-equipment-report-3.pdf,
127,3.2.A.2,"Adventitious Agents Safety Evaluation (name, dosage form, manufacturer)",m3-2-a-2-adventitious-agents-safety-evaluation,directory,m3/32-body-data/32a-app/32a2-advent-agent,"Nonviral adventitious agents reports should be placed in this folder. For viral adventitious agents the following sub-folder structure should be used. However, where there is more than one drug substance, drug product, manufacturer etc., a directory should be created for each option and its identity included in the directory name. CTD numbering is not defined below this level (e.g., 3.2.A.2.1)."
128,,Adventitious Agents Safety Evaluation Report 1,m3-2-a-2-adventitious-agents-safety-evaluation,file,m3/32-body-data/32a-app/32a2-advent-agent/adventitious-agents-report-1.pdf,
129,,Adventitious Agents Safety Evaluation Report 2,m3-2-a-2-adventitious-agents-safety-evaluation,file,m3/32-body-data/32a-app/32a2-advent-agent/adventitious-agents-report-2.pdf,
130,,Adventitious Agents Safety Evaluation Report 3,m3-2-a-2-adventitious-agents-safety-evaluation,file,m3/32-body-data/32a-app/32a2-advent-agent/adventitious-agents-report-3.pdf,
131,3.2.A.3,Excipients – Name,m3-2-a-3-excipients,directory,m3/32-body-data/32a-app/32a3-excip-name-1,"The name of any novel excipient should be included in the folder name. If there is more than one novel excipient then each folder should have unique identification through the use of different names e.g., '32a3-excip-name-1' and '32a3-excip-name-2'. The directory/file structure would typically follow that of the drug substance section in Module 3.2.S. Refer to regional guidances for the need for such information to be included in the submission directly as opposed to its inclusion in a Drug Master File."
132,3.2.R,Regional Information,m3-2-r-regional-information,directory,m3/32-body-data/32r-reg-info,Refer to the M4 Organisation Document: Granularity Annex for the approach to take with this section.
